Linux 3.10.0-229.el7.x86_64 (pgxl7) 	08/21/2015 	_x86_64_	(4 CPU)

11:36:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:50 PM     all      1.09      0.00      1.10      9.22      0.07     88.52
11:38:50 PM     all      5.83      0.00      4.88     12.76      0.41     76.13
11:39:50 PM     all     22.62      0.00      2.26      6.77      0.15     68.20
11:40:50 PM     all     13.63      0.00      0.78      2.69      0.08     82.81
11:41:50 PM     all     13.62      0.00      0.66      0.00      0.06     85.65
11:42:50 PM     all     12.76      0.00      0.60      0.00      0.05     86.59
11:43:50 PM     all     13.64      0.00      0.65      0.01      0.06     85.64
11:44:50 PM     all     13.77      0.00      0.64      0.02      0.06     85.51
11:45:50 PM     all     13.32      0.00      0.65      0.03      0.06     85.94
11:46:50 PM     all     13.57      0.00      0.68      0.27      0.06     85.42
11:47:50 PM     all     13.75      0.00      0.84      1.88      0.08     83.45
11:48:50 PM     all     12.91      0.00      0.81      2.05      0.07     84.16
11:49:50 PM     all     13.05      0.00      0.78      2.18      0.06     83.93
11:50:50 PM     all      4.61      0.00      0.45     16.01      0.10     78.84
11:51:50 PM     all      1.24      0.00      0.45     22.70      0.15     75.47
11:52:50 PM     all     28.52      0.00      1.38      1.95      0.11     68.04
11:53:50 PM     all     22.83      0.00      2.33      2.87      0.19     71.79
11:54:50 PM     all     36.92      0.00      4.27      4.99      0.36     53.46
11:55:50 PM     all     39.15      0.00      4.66      3.17      0.34     52.68
11:56:50 PM     all     41.77      0.00      4.79      1.89      0.33     51.22
11:57:50 PM     all     21.27      0.00      2.66      5.37      0.22     70.47
11:58:50 PM     all     24.51      0.00      7.72      6.19      0.19     61.38
11:59:50 PM     all     13.35      0.00      4.37     14.69      0.10     67.48
12:00:50 AM     all     21.64      0.00      1.32      2.85      0.01     74.18
12:01:50 AM     all     20.01      0.00      0.96      4.99      0.02     74.02
12:02:50 AM     all     12.30      0.00      2.54      7.52      0.02     77.62
12:03:50 AM     all      5.28      0.00      2.89     23.77      0.47     67.59
12:04:50 AM     all      4.91      0.00      1.56     17.39      0.08     76.07
12:05:50 AM     all      4.28      0.00      1.82     17.94      0.10     75.87
12:06:50 AM     all      9.32      0.00      2.87     12.07      0.06     75.68
12:07:50 AM     all      3.23      0.00      0.65      0.86      0.02     95.24
12:08:50 AM     all     11.41      0.00      1.32      0.14      0.08     87.05
12:09:50 AM     all     23.24      0.00      2.36      1.08      0.13     73.19
12:10:50 AM     all     11.61      0.00      1.70      1.44      0.07     85.18
12:11:50 AM     all      3.82      0.00      0.90     13.70      0.09     81.49
12:12:50 AM     all      6.15      0.00      0.59      4.31      0.01     88.93
12:13:50 AM     all     10.01      0.00      3.92     11.45      0.05     74.56
12:14:50 AM     all     16.41      0.00      2.20      0.02      0.01     81.36
12:15:50 AM     all     22.65      0.00      0.76      0.71      0.00     75.88
12:16:50 AM     all      6.24      0.00      3.31     12.63      0.04     77.78
12:17:50 AM     all      3.14      0.00      0.98     13.64      0.21     82.04
12:18:50 AM     all     18.20      0.00      3.37      0.38      0.01     78.03
