# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl;60;1440217255;3.42;1617.37;6269.10;0.00;4712.38;0.00;0.00;0.00;0.00
pgxl;60;1440217315;0.13;26.73;986.78;0.00;314.80;0.00;0.00;0.00;0.00
pgxl;60;1440217375;0.00;14.77;675.43;0.00;260.78;0.00;0.00;0.00;0.00
pgxl;60;1440217435;0.00;15.72;880.08;0.00;513.15;0.00;0.00;0.00;0.00
pgxl;60;1440217495;0.00;14.58;2572.38;0.00;13473.32;0.00;0.00;0.00;0.00
pgxl;60;1440217555;0.00;52.23;1068.83;0.00;531.93;0.00;0.00;0.00;0.00
pgxl;60;1440217615;0.00;13.43;677.70;0.00;262.55;0.00;0.00;0.00;0.00
pgxl;60;1440217675;0.00;13.72;680.68;0.00;248.63;0.00;0.00;0.00;0.00
pgxl;60;1440217735;0.00;14.08;710.43;0.00;260.30;0.00;0.00;0.00;0.00
pgxl;60;1440217795;0.00;15.05;9355.12;0.00;22075.10;900.83;51.20;952.03;100.00
pgxl;60;1440217855;0.00;16.53;735.17;0.00;278.70;0.00;0.00;0.00;0.00
pgxl;60;1440217915;0.00;14.78;681.18;0.00;255.85;0.00;0.00;0.00;0.00
pgxl;60;1440217975;0.00;14.68;682.65;0.00;269.75;0.00;0.00;0.00;0.00
pgxl;60;1440218035;0.00;12.28;683.02;0.00;258.78;0.00;0.00;0.00;0.00
pgxl;60;1440218095;0.00;12.60;833.12;0.00;302.15;0.00;0.00;0.00;0.00
pgxl;60;1440218155;0.00;14.68;826.82;0.00;325.08;0.00;0.00;0.00;0.00
pgxl;60;1440218215;0.00;18.72;1291.33;0.00;895.72;0.00;0.00;0.00;0.00
pgxl;60;1440218275;0.13;1638.07;966.20;0.00;1572.77;0.00;0.00;0.00;0.00
pgxl;60;1440218335;0.00;14.18;822.65;0.00;317.37;0.00;0.00;0.00;0.00
pgxl;60;1440218395;0.00;17.42;1323.90;0.00;713.48;0.00;0.00;0.00;0.00
pgxl;60;1440218455;0.00;21.80;739.67;0.00;314.90;0.00;0.00;0.00;0.00
pgxl;60;1440218515;0.00;16.55;685.53;0.00;261.97;0.00;0.00;0.00;0.00
pgxl;60;1440218575;0.00;14.93;685.45;0.00;274.20;0.00;0.00;0.00;0.00
pgxl;60;1440218635;0.00;13.05;686.67;0.00;263.08;0.00;0.00;0.00;0.00
pgxl;60;1440218695;0.00;12.73;843.72;0.00;326.77;0.00;0.00;0.00;0.00
pgxl;60;1440218755;10.80;15.47;879.77;0.10;345.93;0.00;0.00;0.00;0.00
pgxl;60;1440218815;8.87;21.02;1314.25;0.12;547.38;0.00;0.00;0.00;0.00
pgxl;60;1440218875;0.00;35.63;865.33;0.00;359.73;0.00;0.00;0.00;0.00
pgxl;60;1440218935;0.00;13.25;675.50;0.00;258.33;0.00;0.00;0.00;0.00
pgxl;60;1440218995;0.00;15.75;1004.40;0.00;820.92;0.00;0.00;0.00;0.00
pgxl;60;1440219055;1.13;25.38;863.02;0.02;301.45;0.00;0.00;0.00;0.00
pgxl;60;1440219115;0.00;18.87;733.47;0.00;254.75;0.00;0.00;0.00;0.00
pgxl;60;1440219175;56.42;20.10;1041.90;0.43;369.07;0.00;0.00;0.00;0.00
pgxl;60;1440219235;0.00;19.60;848.72;0.00;290.90;0.00;0.00;0.00;0.00
pgxl;60;1440219295;5.68;16.27;2074.80;0.02;9444.88;0.00;0.00;0.00;0.00
pgxl;60;1440219355;0.00;53.77;836.25;0.00;289.87;0.00;0.00;0.00;0.00
pgxl;60;1440219415;0.00;17.68;840.37;0.00;291.72;0.00;0.00;0.00;0.00
pgxl;60;1440219475;0.00;17.32;840.47;0.00;291.13;0.00;0.00;0.00;0.00
pgxl;60;1440219535;0.00;13.27;840.93;0.00;283.75;0.00;0.00;0.00;0.00
pgxl;60;1440219595;0.00;12.70;886.28;0.00;298.83;0.00;0.00;0.00;0.00
pgxl;60;1440219655;0.00;16.90;758.73;0.00;266.05;0.00;0.00;0.00;0.00
pgxl;60;1440219715;0.00;17.42;8336.80;0.00;21896.25;107.83;34.67;142.50;100.00
pgxl;60;1440219775;0.00;17.23;878.50;0.00;300.90;0.00;0.00;0.00;0.00
pgxl;60;1440219835;0.00;13.32;693.02;0.00;244.57;0.00;0.00;0.00;0.00
pgxl;60;1440219895;0.00;12.00;693.32;0.00;243.95;0.00;0.00;0.00;0.00
pgxl;60;1440219955;0.00;11.92;835.23;0.00;284.15;0.00;0.00;0.00;0.00
pgxl;60;1440220015;0.00;15.60;838.38;0.00;282.37;0.00;0.00;0.00;0.00
pgxl;60;1440220075;0.00;15.47;992.83;0.00;341.23;0.00;0.00;0.00;0.00
