ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,31829,10,pgxc,10.93.131.148,34698,2015-08-21 23:36:50.922183-04,,2015-08-21 23:36:50.936107-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 23:36:50.976593-04
946684800,31831,10,psql,10.93.131.148,34740,2015-08-21 23:36:51.003717-04,,2015-08-21 23:36:51.008391-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 23:36:51.008394-04
946684800,31832,10,psql,10.93.131.148,34742,2015-08-21 23:36:51.003856-04,,2015-08-21 23:36:51.015925-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 23:36:51.015927-04
946684800,31833,10,psql,10.93.131.148,34741,2015-08-21 23:36:51.004024-04,,2015-08-21 23:36:51.010458-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 23:36:51.010461-04
946684800,31834,10,psql,10.93.131.148,34745,2015-08-21 23:36:51.006153-04,,2015-08-21 23:36:51.016089-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 23:36:51.016092-04
946684800,31835,10,psql,10.93.131.148,34744,2015-08-21 23:36:51.006322-04,,2015-08-21 23:36:51.010454-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 23:36:51.010457-04
946684800,31829,10,pgxc,10.93.131.148,34698,2015-08-21 23:36:50.922183-04,2015-08-21 23:36:58.815277-04,2015-08-21 23:37:44.05231-04,f,COPY public.orders FROM STDIN DELIMITER AS '|',active,2015-08-21 23:37:44.095625-04
946684800,31854,10,psql,10.93.131.148,34809,2015-08-21 23:37:50.997963-04,,2015-08-21 23:37:51.013311-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2015-08-21 23:37:51.013314-04
946684800,31856,10,psql,10.93.131.148,34814,2015-08-21 23:37:51.014459-04,,2015-08-21 23:37:51.028557-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2015-08-21 23:37:51.028561-04
946684800,31857,10,psql,10.93.131.148,34819,2015-08-21 23:37:51.017901-04,,2015-08-21 23:37:51.028604-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-08-21 23:37:51.028607-04
