Linux 3.10.0-229.el7.x86_64 (pgxl5) 	08/21/2015 	_x86_64_	(4 CPU)

10:52:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:53:19 PM     all      1.71      0.00      1.01      0.74      0.02     96.52
10:54:19 PM     all      4.32      0.00      1.38      4.33      0.05     89.92
10:55:19 PM     all     10.01      0.00      1.48      5.23      0.06     83.22
10:56:19 PM     all     18.21      0.00      1.61      4.22      0.06     75.91
10:57:19 PM     all      9.99      0.00      1.53      5.85      0.06     82.57
10:58:19 PM     all     17.13      0.00      1.72      7.58      0.06     73.51
10:59:19 PM     all     18.46      0.00      1.95      6.50      0.07     73.03
11:00:19 PM     all     50.97      0.00      2.33      2.75      0.05     43.91
11:01:19 PM     all     40.82      0.00      1.86      3.97      0.06     53.30
11:02:19 PM     all     12.64      0.00      1.59      4.60      0.06     81.11
11:03:19 PM     all      6.49      0.00      1.70      7.85      0.07     83.88
11:04:19 PM     all      6.44      0.00      1.66      8.46      0.08     83.36
11:05:19 PM     all     13.40      0.00      2.33      6.19      0.08     78.00
11:06:19 PM     all     36.85      0.00      2.62      4.80      0.08     55.65
11:07:19 PM     all     27.40      0.00      1.96     22.64      0.09     47.91
11:08:19 PM     all     81.23      0.00      5.12      5.57      0.03      8.05
11:09:19 PM     all     26.36      0.00      3.53     26.79      0.09     43.24
11:10:19 PM     all     57.31      0.00      2.48      4.61      0.06     35.55
11:11:19 PM     all     55.48      0.00      1.44      1.89      0.07     41.12
11:12:19 PM     all     15.75      0.00      0.92      1.72      0.08     81.54
11:13:19 PM     all      5.59      0.00      0.83      2.85      0.08     90.65
11:14:19 PM     all      5.48      0.00      0.86      2.10      0.08     91.48
11:15:19 PM     all      5.51      0.00      0.80      1.98      0.08     91.63
11:16:19 PM     all      5.48      0.00      0.81      1.85      0.08     91.78
11:17:19 PM     all      5.48      0.00      0.81      2.19      0.08     91.44
11:18:19 PM     all      5.92      0.00      0.87      2.66      0.09     90.46
11:19:19 PM     all      5.54      0.00      0.99      2.12      0.09     91.27
11:20:19 PM     all      6.00      0.00      0.90      2.11      0.08     90.91
11:21:19 PM     all      5.87      0.00      0.86      2.56      0.08     90.64
11:22:19 PM     all      5.78      0.00      0.84      2.20      0.08     91.10
11:23:19 PM     all      5.74      0.00      0.85      2.56      0.09     90.75
11:24:19 PM     all     25.38      0.00      2.20      6.07      0.06     66.28
11:25:19 PM     all     27.04      0.00      1.22     39.39      0.02     32.34
11:26:19 PM     all     20.45      0.00      3.40     26.62      0.04     49.50
11:27:19 PM     all     57.71      0.00     10.18      7.43      0.02     24.66
11:28:19 PM     all     74.82      0.00      7.09      5.28      0.02     12.80
11:29:19 PM     all     63.64      0.00      3.71     21.29      0.02     11.35
11:30:19 PM     all     13.55      0.00      2.03     40.33      0.04     44.04
11:31:19 PM     all      0.92      0.00      1.17     25.81      0.03     72.07
11:32:19 PM     all      0.81      0.00      0.95     26.17      0.03     72.05
11:33:19 PM     all      1.16      0.00      1.29     26.78      0.04     70.73
11:34:19 PM     all      0.27      0.00      0.37     26.12      0.03     73.21
11:35:19 PM     all     29.91      0.00      2.05     11.02      0.02     57.00
