Linux 3.10.0-229.el7.x86_64 (pgxl7) 	08/22/2015 	_x86_64_	(4 CPU)

12:19:55 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:20:55 AM     all     24.39      0.00      9.08     25.25      0.11     41.16
12:21:55 AM     all     37.45      0.00     12.50     11.23      0.23     38.59
12:22:55 AM     all      2.87      0.00      1.55     23.44      0.16     71.99
12:23:55 AM     all     15.49      0.00      3.59     20.53      0.08     60.31
12:24:55 AM     all      1.76      0.00      0.61      6.97      0.15     90.51
12:25:55 AM     all      1.90      0.00      1.36     22.10      0.15     74.49
12:26:55 AM     all      0.57      0.00      0.71     23.69      0.19     74.84
12:27:55 AM     all      5.76      0.00      1.58     27.88      0.15     64.63
12:28:55 AM     all      6.06      0.00      1.68     22.50      0.13     69.63
12:29:55 AM     all     22.63      0.00      2.66      3.15      0.05     71.50
12:30:55 AM     all     41.55      0.00      2.10      1.70      0.05     54.59
12:31:55 AM     all     35.07      0.00      4.07      5.74      0.07     55.05
12:32:55 AM     all     15.70      0.00      1.61      1.10      0.05     81.54
12:33:55 AM     all     13.38      0.00      0.87      6.38      0.09     79.28
12:34:55 AM     all     14.45      0.00      1.70     26.41      0.16     57.27
12:35:55 AM     all     23.45      0.00      2.59     30.84      0.19     42.93
12:36:55 AM     all     22.93      0.00      2.75      5.45      0.08     68.78
12:37:55 AM     all     16.55      0.00      2.63     22.48      0.23     58.11
12:38:55 AM     all     20.69      0.00      6.67     18.10      1.01     53.53
12:39:55 AM     all     25.49      0.00      3.27      1.88      0.14     69.22
12:40:55 AM     all     39.56      0.00      3.56      2.10      0.27     54.51
12:41:55 AM     all     37.04      0.00      4.44     13.07      0.36     45.08
12:42:55 AM     all     47.12      0.00      4.15      6.02      0.23     42.48
12:43:55 AM     all     35.00      0.00      2.52      4.89      0.21     57.38
12:44:55 AM     all     31.66      0.00      4.65      4.27      0.28     59.14
12:45:55 AM     all     29.90      0.00      3.92      7.72      0.30     58.17
12:46:55 AM     all     22.35      0.00      4.54     13.57      0.30     59.23
12:47:55 AM     all     32.49      0.00     10.13     19.90      0.29     37.19
12:48:55 AM     all      4.42      0.00      2.28     22.20      0.12     70.97
12:49:55 AM     all      2.15      0.00      1.39     50.24      0.18     46.04
12:50:55 AM     all      1.02      0.00      1.45     67.48      0.39     29.66
12:51:55 AM     all      1.51      0.00      1.54     55.21      0.45     41.29
12:52:55 AM     all      4.24      0.00      1.84     36.80      0.17     56.94
12:53:55 AM     all      7.55      0.00      1.69     32.70      0.13     57.93
12:54:55 AM     all     31.81      0.00     15.82      5.55      1.53     45.29
12:55:55 AM     all      8.73      0.00      4.35     21.14      0.10     65.67
12:56:55 AM     all      3.36      0.00      1.19      0.46      0.01     94.97
12:57:55 AM     all      7.47      0.00      1.59      2.84      0.06     88.03
12:58:55 AM     all     33.11      0.00      4.47      5.42      0.13     56.87
12:59:55 AM     all     14.41      0.00      3.57      9.02      0.05     72.94
01:00:55 AM     all     15.49      0.00      1.75      0.50      0.07     82.20
01:01:55 AM     all     33.91      0.00      3.61      7.61      0.13     54.74
01:02:55 AM     all     18.03      0.00      2.58     35.18      0.24     43.97
01:03:55 AM     all     15.21      0.00      2.43     26.61      0.31     55.44
01:04:55 AM     all     19.93      0.00      2.29     31.57      0.29     45.92
01:05:55 AM     all      7.86      0.00      3.31     25.03      0.15     63.66
01:06:55 AM     all      7.04      0.00      2.40     27.24      0.34     62.98
01:07:55 AM     all     25.24      0.00      1.53      1.49      0.08     71.66
01:08:55 AM     all     38.04      0.00      1.61      0.21      0.05     60.08
01:09:55 AM     all     13.54      0.00      1.26      3.06      0.06     82.07
01:10:55 AM     all     18.88      0.00      3.34     15.41      0.10     62.27
01:11:55 AM     all     40.17      0.00      3.96      4.85      0.21     50.80
01:12:55 AM     all     47.28      0.00      4.76      2.23      0.25     45.49
01:13:55 AM     all     46.14      0.00      4.75      2.31      0.25     46.55
01:14:55 AM     all     45.98      0.00      4.59      2.13      0.25     47.04
01:15:55 AM     all     45.97      0.00      4.64      2.36      0.25     46.77
01:16:55 AM     all     46.67      0.00      4.70      2.57      0.24     45.81
01:17:55 AM     all     27.75      0.00      2.60     11.35      0.21     58.10
01:18:55 AM     all     22.20      0.00      2.53     30.65      0.22     44.41
01:19:55 AM     all     14.89      0.00      1.04     23.58      0.11     60.37
01:20:55 AM     all      0.03      0.00      0.43     23.53      0.12     75.89
01:21:55 AM     all     13.99      0.00      2.11     15.75      0.14     68.00
01:22:55 AM     all     20.48      0.00      1.70     10.84      0.09     66.89
01:23:55 AM     all     29.58      0.00      4.11     11.86      0.03     54.42
01:24:55 AM     all     11.81      0.00      4.78     24.59      0.09     58.74
01:25:55 AM     all     14.34      0.00      3.19     16.36      0.10     66.01
01:26:55 AM     all      0.03      0.00      1.92      0.06      0.00     97.98
