# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl5;60;1440214670;eth0;24.97;14.95;200.96;1.45;0.00;0.00;0.00
pgxl5;60;1440214670;lo;9.82;9.82;1.73;1.73;0.00;0.00;0.00
pgxl5;60;1440214730;eth0;128.78;123.72;518.15;528.24;0.00;0.00;0.00
pgxl5;60;1440214730;lo;40.43;40.43;77.89;77.89;0.00;0.00;0.00
pgxl5;60;1440214790;eth0;2212.27;2249.37;2226.58;2254.90;0.00;0.00;0.00
pgxl5;60;1440214790;lo;332.87;332.87;319.91;319.91;0.00;0.00;0.00
pgxl5;60;1440214850;eth0;1165.28;1211.60;7047.93;7088.26;0.00;0.00;0.00
pgxl5;60;1440214850;lo;179.48;179.48;1031.45;1031.45;0.00;0.00;0.00
pgxl5;60;1440214910;eth0;1167.35;1234.70;7016.44;7024.53;0.00;0.00;0.00
pgxl5;60;1440214910;lo;174.22;174.22;1020.31;1020.31;0.00;0.00;0.00
pgxl5;60;1440214970;eth0;1148.88;1231.98;7001.96;6984.80;0.00;0.00;0.00
pgxl5;60;1440214970;lo;166.82;166.82;1003.67;1003.67;0.00;0.00;0.00
pgxl5;60;1440215030;eth0;1153.07;1198.88;6967.16;7024.00;0.00;0.00;0.00
pgxl5;60;1440215030;lo;176.18;176.18;1009.93;1009.93;0.00;0.00;0.00
pgxl5;60;1440215090;eth0;1195.58;1212.18;7000.12;7113.20;0.00;0.00;0.00
pgxl5;60;1440215090;lo;174.75;174.75;1007.05;1007.05;0.00;0.00;0.00
pgxl5;60;1440215150;eth0;1204.38;1222.02;7037.67;7144.74;0.00;0.00;0.00
pgxl5;60;1440215150;lo;168.12;168.12;1012.18;1012.18;0.00;0.00;0.00
pgxl5;60;1440215210;eth0;1196.33;1235.02;6885.18;6974.01;0.00;0.00;0.00
pgxl5;60;1440215210;lo;159.55;159.55;983.60;983.60;0.00;0.00;0.00
